name;id
Live horses, other than for pure-bred breeding;UNCTAD-SoP1_Raw materials_010119
Live asses mules and hinnies;UNCTAD-SoP1_Raw materials_010120
Live bovine animals, other than pure-bred breed;UNCTAD-SoP1_Raw materials_010290
Live swine weighing <50kg (excl. pure-bred bree;UNCTAD-SoP1_Raw materials_010391
Live swine weighing >=50kg (excl. pure-bred bre;UNCTAD-SoP1_Raw materials_010392
Live sheep;UNCTAD-SoP1_Raw materials_010410
Live goats;UNCTAD-SoP1_Raw materials_010420
Live fowls of species Gallus domesticus, weighi;UNCTAD-SoP1_Raw materials_010511
Live ducks, geese, turkeys and guinea fowls, we;UNCTAD-SoP1_Raw materials_010519
Live fowls of species Gallus domesticus (chicke;UNCTAD-SoP1_Raw materials_010591
Live ducks, geese, turkeys and guinea fowls, we;UNCTAD-SoP1_Raw materials_010599
Other live animals, nes;UNCTAD-SoP1_Raw materials_010600
Fresh or chilled bovine carcasses and half carc;UNCTAD-SoP1_Raw materials_020110
Fresh or chilled unboned bovine meat (excl. car;UNCTAD-SoP1_Raw materials_020120
Fresh or chilled boneless bovine meat;UNCTAD-SoP1_Raw materials_020130
Frozen bovine carcasses and half carcasses;UNCTAD-SoP1_Raw materials_020210
Frozen unboned bovine meat (excl. carcasses);UNCTAD-SoP1_Raw materials_020220
Frozen boneless bovine meat;UNCTAD-SoP1_Raw materials_020230
Fresh or chilled swine carcasses and half carca;UNCTAD-SoP1_Raw materials_020311
Fresh or chilled unboned hams, shoulders and cu;UNCTAD-SoP1_Raw materials_020312
Fresh or chilled swine meat, nes (unboned);UNCTAD-SoP1_Raw materials_020319
Frozen swine carcasses and half carcasses;UNCTAD-SoP1_Raw materials_020321
Frozen unboned hams, shoulders and cuts thereof;UNCTAD-SoP1_Raw materials_020322
Frozen swine meat, nes;UNCTAD-SoP1_Raw materials_020329
Fresh or chilled lamb carcasses and half carcas;UNCTAD-SoP1_Raw materials_020410
Fresh or chilled sheep carcasses and half carca;UNCTAD-SoP1_Raw materials_020421
Fresh or chilled unboned meat of sheep;UNCTAD-SoP1_Raw materials_020422
Fresh or chilled boneless meat of sheep;UNCTAD-SoP1_Raw materials_020423
Frozen lamb carcasses and half carcasses;UNCTAD-SoP1_Raw materials_020430
